Campo,Valor,Porcentagem do Total de Focos
2013/12/30 - 2014/01/05,42,0.42%
2014/01/06 - 2014/01/12,408,4.09%
2014/01/13 - 2014/01/19,83,0.83%
2014/01/20 - 2014/01/26,73,0.73%
2014/01/27 - 2014/02/02,187,1.88%
2014/02/03 - 2014/02/09,271,2.72%
2014/02/10 - 2014/02/16,341,3.42%
2014/02/17 - 2014/02/23,34,0.34%
2014/02/24 - 2014/03/02,31,0.31%
2014/03/03 - 2014/03/09,27,0.27%
2014/03/10 - 2014/03/16,36,0.36%
2014/03/17 - 2014/03/23,39,0.39%
2014/03/24 - 2014/03/30,13,0.13%
2014/03/31 - 2014/04/06,74,0.74%
2014/04/07 - 2014/04/13,214,2.15%
2014/04/14 - 2014/04/20,32,0.32%
2014/04/21 - 2014/04/27,190,1.91%
2014/04/28 - 2014/05/04,139,1.39%
2014/05/05 - 2014/05/11,38,0.38%
2014/05/12 - 2014/05/18,8,0.08%
2014/05/19 - 2014/05/25,22,0.22%
2014/05/26 - 2014/06/01,18,0.18%
2014/06/02 - 2014/06/08,18,0.18%
2014/06/09 - 2014/06/15,22,0.22%
2014/06/16 - 2014/06/22,47,0.47%
2014/06/23 - 2014/06/29,53,0.53%
2014/06/30 - 2014/07/06,101,1.01%
2014/07/07 - 2014/07/13,34,0.34%
2014/07/14 - 2014/07/20,168,1.69%
2014/07/21 - 2014/07/27,60,0.60%
2014/07/28 - 2014/08/03,59,0.59%
2014/08/04 - 2014/08/10,81,0.81%
2014/08/11 - 2014/08/17,130,1.30%
2014/08/18 - 2014/08/24,349,3.50%
2014/08/25 - 2014/08/31,222,2.23%
2014/09/01 - 2014/09/07,213,2.14%
2014/09/08 - 2014/09/14,629,6.31%
2014/09/15 - 2014/09/21,212,2.13%
2014/09/22 - 2014/09/28,220,2.21%
2014/09/29 - 2014/10/05,583,5.85%
2014/10/06 - 2014/10/12,624,6.26%
2014/10/13 - 2014/10/19,1377,13.82%
2014/10/20 - 2014/10/26,642,6.44%
2014/10/27 - 2014/11/02,182,1.83%
2014/11/03 - 2014/11/09,154,1.55%
2014/11/10 - 2014/11/16,453,4.55%
2014/11/17 - 2014/11/23,718,7.20%
2014/11/24 - 2014/11/30,28,0.28%
2014/12/01 - 2014/12/07,90,0.90%
2014/12/08 - 2014/12/14,60,0.60%
2014/12/15 - 2014/12/21,68,0.68%
2014/12/22 - 2014/12/28,32,0.32%
2014/12/29 - 2015/01/04,17,0.17%
